,AGOP,PCA,MI,SHAP
cat__Exterior2nd_ImStucc,0.0041578007,7.420520674701284e-06,0.0019496731837047587,7.06575813356164
cat__KitchenQual_Fa,0.0041512176,0.0002613259011548502,0.018935234643035148,14.345263110017292
cat__BsmtFinType2_Rec,0.0035924406,1.2006453338263479e-05,0.0,15.103525738441707
cat__HouseStyle_SFoyer,0.0035241046,4.783124657112456e-06,0.014717378518123825,31.46652252782538
cat__MSSubClass_80,0.0035019882,1.7685022614201076e-07,0.010156017997462241,16.218511700912977
cat__MSSubClass_90,0.003466806,8.371521366902997e-05,0.017173317064400395,10.992332191780728
cat__BldgType_Duplex,0.0034668057,8.371521366902997e-05,0.02894857128165773,11.098821186500768
cat__GarageCond_None,0.002989435,0.00045008676814825403,0.07558388367855229,34.517679865867265
cat__GarageType_None,0.002989435,0.00045008676814825403,0.072245671790925,34.44881423016564
cat__GarageFinish_None,0.002989435,0.00045008676814825403,0.04833117506273754,34.939574361444095
cat__GarageQual_None,0.002989435,0.00045008676814825403,0.07274937588713226,34.342814176654876
cat__Neighborhood_Gilbert,0.0029106198,0.00011315126306910472,0.03558279240064999,10.793444170947332
cat__GarageType_CarPort,0.0028609983,2.244153995162485e-05,0.01859972084417172,2.1748597317351686
cat__LotConfig_FR3,0.0027884939,2.7476272635513537e-06,0.0035674237415197485,4.333528146404094
cat__MSSubClass_190,0.0027366972,0.00013767785938084573,0.00398515194705662,2.3880098102169005
cat__BldgType_2fmCon,0.0025883582,0.00014410425617693715,0.016359906793146806,4.023994898687253
cat__BsmtQual_Fa,0.0025530602,0.0001352565391555991,0.0033829670851568405,14.427616438356202
cat__Neighborhood_NoRidge,0.0024722572,0.00015895672206359094,0.05496052858880973,27.404279287956506
cat__RoofStyle_Flat,0.0023712653,1.6280996743996814e-06,0.015366050304275625,0.8859111907819901
cat__GarageCond_Gd,0.002341246,1.4571985695191814e-06,0.0026048785411021402,2.073383597317128
cat__LandSlope_Sev,0.0023104812,4.960982505352629e-07,0.0,2.7861207905250804
cat__MSSubClass_120,0.0022431072,0.00014810349965534863,0.01612135449760932,10.549023401826572
cat__Neighborhood_SWISU,0.0020465185,5.6642957819354006e-05,0.006694585994657443,9.652918575199589
cat__PavedDrive_P,0.0018995216,7.147385317894976e-05,0.002280631745636308,1.6692259738869288
cat__GarageQual_Ex,0.0018157096,3.686876343950096e-06,0.0,0.0
cat__Exterior1st_AsbShng,0.0017511261,0.00012280948240647968,0.013794881458776942,1.6066663099315093
cat__Fence_MnWw,0.0017150881,1.280372317082922e-05,0.0,1.6881372895262539
cat__MiscFeature_None,0.0017026182,2.2387720451489236e-05,0.01466851019130222,22.668899900114155
