,AGOP,PCA,MI,SHAP,Perm
cat__GarageType_Attchd,0.012296138,0.0009065928709831,0.1138452789340247,137.22108096104446,2445388.8
cat__Fence_GdPrv,0.012164503,2.894134707670692e-06,0.0157016349900125,42.02369747074761,860174.4
cat__MasVnrType_Stone,0.012022181,0.0004228959403671,0.0544155744638028,60.52386904252306,5659187.2
cat__GarageQual_Fa,0.011761716,0.0002067018795844,0.0118810845096035,47.22461547517152,321483.2
cat__Functional_Min1,0.0117420675,3.306303524542255e-05,0.0,12.669166916381275,175969.6
cat__Fence_MnPrv,0.011720298,0.0001115393658065,0.0109425820421296,51.86023635487993,614536.0
cat__FireplaceQu_TA,0.011566327,0.0001273047471196,0.0622175475956399,52.30995398116421,1046680.0
cat__HouseStyle_SLvl,0.011420578,2.595175405740422e-10,0.0122297780941742,19.61634920804757,225201.6
cat__Functional_Maj1,0.010691066,1.4531325208633823e-06,0.0082591005586767,37.30344770262557,58331.2
cat__FireplaceQu_Fa,0.010534023,1.095146006823597e-07,0.0,36.95542089397885,753721.6
cat__LotConfig_Corner,0.010361813,1.2667212790991996e-05,0.0090482177473247,47.337634935074384,1175577.6
cat__Neighborhood_OldTown,0.00979765,0.0004292577966654,0.0285002330314934,103.84789982876724,1134968.0
cat__Neighborhood_BrDale,0.009625752,2.169454851119508e-05,0.0252512402264739,33.70317000214039,26064.0
cat__Exterior2nd_Wd Shng,0.009619116,3.189632857225334e-05,0.0,29.4223493329056,474740.8
cat__Condition1_Feedr,0.009353368,6.820788882256354e-05,0.0157444091565972,77.67065771261417,367940.8
cat__FireplaceQu_Po,0.009299308,1.2171094061540724e-05,0.0151929489665953,38.09966145833364,184584.0
cat__MSSubClass_75,0.009276434,3.5782521099360904e-05,0.0007056307148276,5.909359374999792,-64785.6
cat__BldgType_Twnhs,0.009225833,1.0702494312763729e-06,0.0009914622287128,48.98475094534839,289664.0
cat__Exterior2nd_HdBoard,0.00918325,6.193755131479334e-06,0.0315312332254338,89.03944381421243,1607564.8
cat__Electrical_FuseF,0.009160567,0.0001710888076799,0.0108271491548765,23.958083832762533,57948.8
cat__Exterior1st_Wd Sdng,0.008546812,0.0003782763808727,0.0410659841473819,136.01798635488004,853160.0
cat__BsmtFinType2_LwQ,0.008480467,1.2301124962120072e-05,0.0069765163639969,18.62707231021685,146793.6
cat__Exterior2nd_Wd Sdng,0.008439053,0.0003650644191347,0.0362881184321068,89.86189158818492,527536.0
cat__Neighborhood_Veenker,0.008214977,7.025242550197125e-06,0.0009294156048775,20.699438659389426,320006.4
cat__BsmtCond_Gd,0.008187974,2.7331074127532464e-05,0.0,22.4171214326484,280851.2
cat__Neighborhood_NridgHt,0.00811333,0.0003899410572658,0.0559876103783445,57.46503100028546,900395.2
cat__Neighborhood_NWAmes,0.0079650665,7.152975509754124e-06,0.0231852317721503,75.45463673658672,449468.8
cat__Exterior1st_Stucco,0.007873011,1.775577934577274e-05,0.0,9.556768996147245,150705.6
cat__LandContour_Bnk,0.007842706,0.0001210136927638,0.0158852165326655,23.249227971603947,-1155099.2
cat__Neighborhood_Timber,0.007440574,4.963518412942536e-05,0.0,26.119046286386943,846884.8
cat__HouseStyle_2.5Unf,0.0072667766,6.0984201373477454e-05,0.0001887569564014,0.0053861479737533,-56168.0
cat__Alley_Grvl,0.006878884,0.000269219724247,0.0057924339018344,35.81552404394964,476051.2
cat__GarageCond_Fa,0.006864092,0.0001747689676206,0.0230433935818425,30.848853578053376,245609.6
cat__BsmtFinType2_Unf,0.006807076,0.0001173427654607,0.0,59.41338664740298,555790.4
cat__Electrical_SBrkr,0.0063992427,0.0005188341322997,0.0512527764626962,46.285314890125576,296406.4
cat__Exterior2nd_Brk Cmn,0.0060076327,9.379326493266724e-06,0.0080188693043541,1.5218688641552556,36340.8
